,product_name,base_price,price_value
0,"아이리스 황사마스크 중형 KF80, 100매, 1개",,"49,900"
1,"마쓰미 [장당539원!] 황사마스크KF94, 100매, 1개",,"48,000"
2,"김나운의 편안한 황사 미세먼지 차단 마스크/KF94/화이트/5매*20팩총100매, 5매입, 20팩",,"42,900"
3,"숨쉬기편한 황사 미세먼지 마스크 KF94 100매, 20개",,"15,900"
4,프리데이 일회용마스크 블랙 100매 KC인증 3중필터,,"6,400"
5,"하이가드 KF94 황사미세먼지마스크 대형 검정 100매, 10매","20,000","6,800"
6,"마쓰미 [장당 539원] KF94 미세먼지 마쓰미황사마스크 (당일배송 국내제조), 100매, 1개","59,900","53,900"
7,"듀플렉스 KF94 개별포장 미세먼지마스크 황사마스크, 100매, 1개",,"59,800"
8,"세이브몰 미세먼지 마스크 KF94, 25개입","15,100","14,870"
9,"수성메디칼 하나씩 뽑아쓰는 수성일회용마스크 흰색 100매, 2box, 50매입",,"6,600"
10,"황사마스크 타파보카스 KC인증 3중필터 일회용마스크 화이트 100매 황사 미세먼지 TAPABOCOS, 1개",,"6,700"
11,"마니사 일회용마스크 화이트 2BOX(100매), 100매",,"4,400"
12,"KF94 황사 초미세먼지 마스크 100매/ 아에르, 중형","89,000","54,780"
13,"KF94/소형100매 웰킵스 황사방역마스크(미세먼지 차단효과), 상세페이지참조","61,900","53,710"
14,"케이투나인 KF94 초미세먼지 황사 방역마스크 남성용 (100매), 1세트, 100개입",,"47,900"
15,"한컴 산청 말랑말랑 KF94 화이트(대) 미세먼지마스크 황사마스크 10매~100매 성인용, 30개",,"16,300"
16,"도부 밸브형 미세먼지 황사마스크 KF94(DM2-203V)화이트 100매, 10매","19,900","15,000"
17,"하나서비스 일회용 마스크 4중필터 성인용 1+1_화이트, 2box, 100매","7,800","5,800"
18,"(KF94/100매) 웰킵스 스마트 황사방역 마스크, A형/대형100매, 성인 100매","61,900","53,710"
19,"아텍스 하이가드 블랙 미세먼지마스크 3단 대형(KF80) 100매(대한의료기), 1개, 100개입",,"53,900"
20,"황사방역마스크 100매 KF94 식약처 인증 황사마스크 화이트색상, 1매입, 100개",,"49,900"
21,바이홈 황사 방역용 마스크 KF94 블랙 50매 100매,,"32,900"
22,"한컴 산청 말랑말랑 KF94 화이트(대) 미세먼지마스크 황사마스크 10매~100매 성인용, 55개",,"26,700"
23,"도부 밸브형 미세먼지 황사마스크 KF94(DM2-203V) 블랙 100매, 10매","19,900","15,000"
24,"klare lut 끌라레루트 미세먼지 황사마스크 KF94(검정색)100매, 100개입, 1개","79,000","62,900"
25,"쇼핑테그 KF94 초미세먼지 황사 방역마스크 여성용 (100매), 1세트, 100개입",,"47,900"
26,"마른파이브 황사 미세먼지 KF94 마스크 100매, KF94마스크","98,000","57,900"
27,"김나운더키친 김나운의 편안한 마스크 황사 미세먼지 마스크KF94 화이트50매 그레이50매 총100매, 단품","49,900","45,900"
28,"하나 KF94 황사마스크 100매(1팩5매*20장), 100매, 5장",,"56,500"
29,"올가드 KF94 초미세먼지차단 마스크 소형 20매, 100매, 1세트","64,000","52,000"
30,"(KF94) 대형100매/대형50매+소형50매 웰킵스 황사방역 마스크, A형/대형 100매","61,900","53,710"
31,"[신세계TV쇼핑]데이앤데이 KF94 미세먼지 마스크 100장, 1, 100매","60,900","59,900"
32,"한컴 산청 말랑말랑 KF94 블랙(대) 미세먼지마스크 황사마스크 10매~100매 성인용, 55개",,"30,000"
33,"크린숨 초미세먼지 방역마스크KF94 20매50매, 50매","50,000","34,900"
34,"애니쉴드 코편한마스크 미세먼지 황사 KF94 화이트 100매, 1개, 100개",,"75,000"
35,"[바보사랑]KF94 황사 초미세먼지 마스크 100매/ 아에르, 1개, 중형",,"69,900"
